l_all,lat,lon
"Bucaramanga,Santander,Colombia",7.119349,-73.1227416
"Medellín,Antioquia,Colombia",6.2476376,-75.56581530000001
"Barranquilla,Atlántico,Colombia",11.0041072,-74.80698129999999
"Montería,Córdoba,Colombia",8.750983,-75.8785348
"Villa Maria,Suba,Zona Noroccidental,Bogotá D.C,Cundinamarca,Colombia",4.7416045,-74.1027069
"Villavicencio,Meta,Colombia",4.1491688,-73.6285475
"Cartago,Valle del Cauca,Colombia",4.747221199999999,-75.91162890000001
"Bosa,Zona Suroccidental,Bogotá D.C,Cundinamarca,Colombia",4.608664399999999,-74.18133639999999
"Cali,Valle del Cauca,Colombia",3.4516467,-76.5319854
"Manizales,Caldas,Colombia",5.0629743,-75.5027698
"Pereira,Risaralda,Colombia",4.8087174,-75.690601
"Santa Marta,Magdalena,Colombia",11.2403547,-74.2110227
"La Ceja,Antioquia,Colombia",6.0298998,-75.4305712
"Las Palmas,Barranquilla,Atlántico,Colombia",10.9452571,-74.79002640000002
"Guarne,Antioquia,Colombia",6.2825086,-75.44459719999999
"Palestina,Caldas,Colombia",5.0201847,-75.620172
"San Francisco,Cundinamarca,Colombia",4.9746739,-74.2890711
"Popayán,Cauca,Colombia",2.4448143,-76.6147395
"Rionegro,Antioquia,Colombia",6.149018799999999,-75.3789523
"Neiva,Huila,Colombia",2.9344837,-75.2809001
"Chía,Cundinamarca,Colombia",4.864758,-74.05091800000001
"Suba,Zona Noroccidental,Bogotá D.C,Cundinamarca,Colombia",4.7207926,-74.07476799999999
"Piedecuesta,Santander,Colombia",6.991539,-73.05399799999999
"Tuluá,Valle del Cauca,Colombia",4.089869,-76.1914991
"Cartagena,Bolívar,Colombia",10.3932277,-75.4832311
"Bello,Antioquia,Colombia",6.336728799999999,-75.55958869999999
"Floridablanca,Santander,Colombia",7.072056799999999,-73.1068227
"Barrios Unidos,Zona Chapinero,Bogotá D.C,Cundinamarca,Colombia",5.026002999999999,-74.0300122
"Teusaquillo,Zona Chapinero,Bogotá D.C,Cundinamarca,Colombia",4.662202700000001,-74.05265709999999
"Sabaneta,Antioquia,Colombia",6.1504856,-75.61687859999999
"Chapinero,Zona Chapinero,Bogotá D.C,Cundinamarca,Colombia",4.645851,-74.064227
"Veraguas,Los Mártires,Zona Centro,Bogotá D.C,Cundinamarca,Colombia",4.6042698,-74.09830199999999
"La Calera,Cundinamarca,Colombia",4.7191983,-73.9690753
"Ibagué,Tolima,Colombia",4.444675999999999,-75.24243799999999
"Envigado,Antioquia,Colombia",6.167286499999999,-75.5836963
"Jamundí,Valle del Cauca,Colombia",3.2617697,-76.5403266
"Itagui,Antioquia,Colombia",6.1681832,-75.6190324
"Fusagasugá,Cundinamarca,Colombia",4.345152,-74.361823
"Usaquén,Zona Norte,Bogotá D.C,Cundinamarca,Colombia",5.026002999999999,-74.0300122
"Kennedy,Zona Suroccidental,Bogotá D.C,Cundinamarca,Colombia",5.026002999999999,-74.0300122
"Soacha,Cundinamarca,Colombia",4.5827227,-74.21174649999999
"Antioquia,Colombia",6.2476598,-75.565816
"Cúcuta,Norte de Santander,Colombia",7.8890971,-72.4966896
"El Progreso,Los Mártires,Zona Centro,Bogotá D.C,Cundinamarca,Colombia",4.5990856,-74.08949179999999
"Cajicá,Cundinamarca,Colombia",4.9187217,-74.02255699999999
"Santa Fe,Zona Centro,Bogotá D.C,Cundinamarca,Colombia",4.6121433,-74.0708166
"Palmira,Valle del Cauca,Colombia",3.5379718,-76.2971657
"Alameda,Los Mártires,Zona Centro,Bogotá D.C,Cundinamarca,Colombia",4.6050183,-74.079928
"El Retiro,Chapinero,Zona Chapinero,Bogotá D.C,Cundinamarca,Colombia",4.6671857,-74.05608269999999
"Puente Aranda,Zona Centro,Bogotá D.C,Cundinamarca,Colombia",4.622794000000001,-74.0909602
"San Luis,Chapinero,Zona Chapinero,Bogotá D.C,Cundinamarca,Colombia",4.6679354,-74.0211989
"Armenia,Quindío,Colombia",4.535000399999999,-75.6756888
"Pance,Cali,Valle del Cauca,Colombia",3.32834,-76.63865
"Florencia,Caquetá,Colombia",1.6153858,-75.60423639999999
"Chico Norte,Chapinero,Zona Chapinero,Bogotá D.C,Cundinamarca,Colombia",4.6812359,-74.0471646
"Colombia,Huila,Colombia",3.3762396,-74.8023651
"Sucre,Colombia",8.813977,-74.723283
"Santa Catalina,Bolívar,Colombia",10.6050059,-75.2885082
"Santa Barbara,Usaquén,Zona Norte,Bogotá D.C,Cundinamarca,Colombia",5.026002999999999,-74.0300122
"La Florida,Caldas,Colombia",5.34493,-75.2706199
"Tunja,Boyacá,Colombia",5.5446422,-73.3575572
"Carmen de Carupa,Cundinamarca,Colombia",5.3488323,-73.9012766
"Campo Alegre,Barranquilla,Atlántico,Colombia",10.989232,-74.83170520000002
"Marsella,Risaralda,Colombia",4.9371072,-75.7393372
"La Estrella,Antioquia,Colombia",6.151144899999999,-75.636623
"Antonio Nariño,Zona Sur,Bogotá D.C,Cundinamarca,Colombia",5.026002999999999,-74.0300122
"Las Delicias,Kennedy,Zona Suroccidental,Bogotá D.C,Cundinamarca,Colombia",4.600387899999999,-74.14675059999999
"Tubará,Atlántico,Colombia",10.872762,-74.97735399999999
"Barbosa,Antioquia,Colombia",6.437951699999999,-75.3318156
"Funza,Cundinamarca,Colombia",4.7176677,-74.2118741
"La Estanzuela,Suba,Zona Noroccidental,Bogotá D.C,Cundinamarca,Colombia",4.7292457,-74.09499819999999
"Palermo,Teusaquillo,Zona Chapinero,Bogotá D.C,Cundinamarca,Colombia",4.635460399999999,-74.0726044
"Puerto Colombia,Atlántico,Colombia",11.001004,-74.950761
"San Antonio Norte,Usaquén,Zona Norte,Bogotá D.C,Cundinamarca,Colombia",5.026002999999999,-74.0300122
"Santa Paula,Usaquén,Zona Norte,Bogotá D.C,Cundinamarca,Colombia",4.6930751,-74.04286429999999
"Paseo de la Castellana,Barranquilla,Atlántico,Colombia",11.0190952,-74.82459109999999
"La Calleja,Usaquén,Zona Norte,Bogotá D.C,Cundinamarca,Colombia",4.7111163,-74.0503786
"Villeta,Cundinamarca,Colombia",5.011706,-74.470362
"Laureles,Medellín,Antioquia,Colombia",6.251593799999999,-75.5887989
"Niza,Suba,Zona Noroccidental,Bogotá D.C,Cundinamarca,Colombia",4.7053809,-74.0755415
"Centenario,Rafael Uribe Uribe,Zona Sur,Bogotá D.C,Cundinamarca,Colombia",4.5858174,-74.10858
"Sabanalarga,Atlántico,Colombia",10.632409,-74.920163
"Cedritos,Usaquén,Zona Norte,Bogotá D.C,Cundinamarca,Colombia",4.7251363,-74.03955959999999
"Fontibón,Zona Occidental,Bogotá D.C,Cundinamarca,Colombia",4.673689,-74.143671
"La Candelaria,Zona Centro,Bogotá D.C,Cundinamarca,Colombia",4.597014,-74.0728759
"Copacabana,Antioquia,Colombia",6.357621,-75.505078
"Guainía,Colombia",2.585393,-68.52471489999999
"Risaralda,Colombia",5.315847499999999,-75.9927652
"Santa Rosa,Bolívar,Colombia",10.445791,-75.368501
"El Recreo,Barranquilla,Atlántico,Colombia",10.980809,-74.8009955
"Las Orquideas,Suba,Zona Noroccidental,Bogotá D.C,Cundinamarca,Colombia",4.7497213,-74.0477555
"Norte de Santander,Colombia",7.9462831,-72.8988069
"Dibulla,La Guajira,Colombia",11.2724671,-73.3094943
"Quindío,Colombia",4.4610191,-75.667356
"Norte-Centro Histórico,Barranquilla,Atlántico,Colombia",10.9961711,-74.8331674
"Facatativá,Cundinamarca,Colombia",4.809984,-74.35400899999999
"Filandia,Quindío,Colombia",4.6746953,-75.6577028
"Eduardo Santos,Santa Fe,Zona Centro,Bogotá D.C,Cundinamarca,Colombia",4.5954153,-74.0924285
"Los Rosales,Chapinero,Zona Chapinero,Bogotá D.C,Cundinamarca,Colombia",4.6614037,-74.0487393
"Andes Norte,Suba,Zona Noroccidental,Bogotá D.C,Cundinamarca,Colombia",4.6917459,-74.0684619
"El Refugio,Fontibón,Zona Occidental,Bogotá D.C,Cundinamarca,Colombia",4.6902523,-74.1496865
"Valledupar,Cesar,Colombia",10.4742449,-73.2436335
"Belén,Medellín,Antioquia,Colombia",6.2315137,-75.5914068
"Leticia,Amazonas,Colombia",-4.203164999999999,-69.935907
"Los Patios,Norte de Santander,Colombia",7.833199,-72.504392
"San Gil,Santander,Colombia",6.554824,-73.13412
"San Jerónimo,Antioquia,Colombia",6.442825699999999,-75.72776689999999
"El Peñón,Cundinamarca,Colombia",5.248622999999999,-74.29033
"Santa Mónica,Cali,Valle del Cauca,Colombia",3.4345654,-76.51393139999999
"La Estancia,Ciudad Bolívar,Zona Sur,Bogotá D.C,Cundinamarca,Colombia",4.595429200000001,-74.1753734
"Puerto Salgar,Cundinamarca,Colombia",5.467414,-74.652693
"Las Nieves,Santa Fe,Zona Centro,Bogotá D.C,Cundinamarca,Colombia",4.6029936,-74.06966729999999
"Nueva Castilla,Fontibón,Zona Occidental,Bogotá D.C,Cundinamarca,Colombia",4.650668599999999,-74.1504021
"Quirigua,Suba,Zona Noroccidental,Bogotá D.C,Cundinamarca,Colombia",4.709135,-74.1027069
"Retiro,Antioquia,Colombia",6.060955,-75.50258199999999
"Bogotá D.C,Cundinamarca,Colombia",4.622794000000001,-74.0909602
"San Andrés,San Andrés Providencia y Santa Catalina,Colombia",12.576855,-81.705052
"Boyacá,Colombia",5.454511,-73.362003
"Melgar,Tolima,Colombia",4.203571999999999,-74.643383
"Cota,Cundinamarca,Colombia",4.8098502,-74.1018383
"Chapinero Central,Chapinero,Zona Chapinero,Bogotá D.C,Cundinamarca,Colombia",4.645837,-74.0630587
"San Cristobal,Zona Sur,Bogotá D.C,Cundinamarca,Colombia",4.5440086,-74.0889378
"Yopal,Casanare,Colombia",5.348903,-72.40052299999999
"El Salitre,Suba,Zona Noroccidental,Bogotá D.C,Cundinamarca,Colombia",4.7548635,-74.0821496
"Girón,Santander,Colombia",7.080333899999999,-73.171039
"Tunjuelito,Zona Sur,Bogotá D.C,Cundinamarca,Colombia",4.5867775,-74.1444068
"Engativa,Zona Occidental,Bogotá D.C,Cundinamarca,Colombia",4.707259800000001,-74.10946349999999
"Salitre ,Suba,Zona Noroccidental,Bogotá D.C,Cundinamarca,Colombia",4.7548635,-74.0821496
"Bolívar,Colombia",8.6704382,-74.0300122
"Guayabal,Medellín,Antioquia,Colombia",6.210293099999999,-75.5887989
"Gran America,Teusaquillo,Zona Chapinero,Bogotá D.C,Cundinamarca,Colombia",4.6276112,-74.0836181
"Candelaria,Medellín,Antioquia,Colombia",6.2536087,-75.5684254
"Villamaría,Caldas,Colombia",5.042568999999999,-75.514771
"San Bernardo,Cundinamarca,Colombia",4.179444,-74.421566
"Patio Bonito,Kennedy,Zona Suroccidental,Bogotá D.C,Cundinamarca,Colombia",4.6381538,-74.16289739999999
"El Limonar,Cali,Valle del Cauca,Colombia",3.392236,-76.52365499999999
"El Poblado,Medellín,Antioquia,Colombia",6.2132868,-75.5762572
"Alcala,Suba,Zona Noroccidental,Bogotá D.C,Cundinamarca,Colombia",4.7211279,-74.05151219999999
"San Cristóbal,Medellín,Antioquia,Colombia",6.277686099999999,-75.6355018
"Rafael Uribe Uribe,Zona Sur,Bogotá D.C,Cundinamarca,Colombia",4.5762835,-74.1173688
"Carmen de Apicalá,Tolima,Colombia",4.1496742,-74.7202896
"Prado Veraniego,Suba,Zona Noroccidental,Bogotá D.C,Cundinamarca,Colombia",4.7179902,-74.0542469
"Restrepo,Antonio Nariño,Zona Sur,Bogotá D.C,Cundinamarca,Colombia",4.5887813,-74.1019728
"Las Aguas,La Candelaria,Zona Centro,Bogotá D.C,Cundinamarca,Colombia",4.6010077,-74.0645273
"La Cumbre,Valle del Cauca,Colombia",3.6507829,-76.56999499999999
"Gachancipá,Cundinamarca,Colombia",4.9947536,-73.8724362
"La Guajira,Colombia",11.3547743,-72.5204827
"Granada,Meta,Colombia",3.5436442,-73.7028107
"La Merced,Santa Fe,Zona Centro,Bogotá D.C,Cundinamarca,Colombia",4.61666,-74.06665
"Ciudadela Colsubsidio,Suba,Zona Noroccidental,Bogotá D.C,Cundinamarca,Colombia",4.721572699999999,-74.1163706
"Cauca,Colombia",2.7049813,-76.8259652
"Santa Isabel,Cali,Valle del Cauca,Colombia",3.4250985,-76.54557179999999
"Hayuelos,Fontibón,Zona Occidental,Bogotá D.C,Cundinamarca,Colombia",4.661819299999999,-74.1342726
"Madelena,Ciudad Bolívar,Zona Sur,Bogotá D.C,Cundinamarca,Colombia",4.5925382,-74.1577599
"Puerto Colombia,Barranquilla,Atlántico,Colombia",11.0119778,-74.8953808
"Los Mártires,Zona Centro,Bogotá D.C,Cundinamarca,Colombia",4.6050183,-74.079928
"Soledad,Atlántico,Colombia",10.9215472,-74.7688173
"Villa del Rosario,Norte de Santander,Colombia",7.8437879,-72.46968970000002
"Buenos Aires,Medellín,Antioquia,Colombia",6.237128999999999,-75.5560544
"Tocancipá,Cundinamarca,Colombia",4.965937299999999,-73.9130599
"La Flora,Cali,Valle del Cauca,Colombia",3.4835232,-76.5235328
"Barrancabermeja,Santander,Colombia",7.0617085,-73.8519319
"Ricaurte,Cundinamarca,Colombia",4.277309,-74.77230500000002
