l3,lat,lon
Bucaramanga,7.12539,-73.1198
Medellín,6.25184,-75.56359
Barranquilla,10.96389,-74.79639
Montería,8.763871,-75.879135
Bogotá D.C,4.602063,-74.102579
Villavicencio,4.142,-73.62664
Cartago,4.74639,-75.91167
Cali,3.43722,-76.5225
Manizales,5.065894,-75.504741
Pereira,4.812095,-75.685157
Santa Marta,11.24079,-74.19904
La Ceja,6.03082,-75.4315
Guarne,6.28046,-75.44354
Palestina,5.0194,-75.62242
San Francisco,5.820355,-75.091944
Popayán,2.419993,-76.610011
Rionegro,6.15515,-75.37371
Neiva,2.934469,-75.289134
Chía,4.85876,-74.05866
Piedecuesta,6.98789,-73.04953
Tuluá,4.08466,-76.19536
Cartagena,10.39972,-75.51444
Bello,6.33732,-75.55795
Floridablanca,7.06222,-73.08644
Sabaneta,6.141405,-75.652964
La Calera,4.72069,-73.96926
Ibagué,4.438914,-75.232214
Envigado,6.17591,-75.59174
Jamundí,3.26074,-76.53499
Itagui,6.18461,-75.59913
Fusagasugá,4.33646,-74.36378
Soacha,4.57937,-74.21682
Cúcuta,7.89391,-72.50782
Cajicá,4.91857,-74.02799
Palmira,3.53944,-76.30361
Armenia,4.53389,-75.68111
Florencia,1.68318,-77.0733
Colombia,20.98806,-77.42972
Santa Catalina,10.60361,-75.28824
La Florida,1.421891,-77.373539
Tunja,5.53528,-73.36778
Carmen de Carupa,5.34862,-73.90168
Marsella,4.93722,-75.73778
La Estrella,6.15769,-75.64317
Tubará,10.87444,-74.97889
Barbosa,5.93168,-73.61506
Funza,4.71638,-74.21195
Puerto Colombia,10.98778,-74.95472
Villeta,5.00886,-74.47226
Sabanalarga,10.62962,-74.92063
Copacabana,6.34633,-75.50888
Santa Rosa,10.44472,-75.36972
Dibulla,11.27251,-73.30911
Facatativá,4.81367,-74.35453
Filandia,4.67472,-75.65833
Valledupar,10.46314,-73.25322
Leticia,-4.21528,-69.94056
Los Patios,7.83793,-72.5037
San Gil,6.55573,-73.13309
San Jerónimo,6.44344,-75.72815
El Peñón,8.98916,-73.94857
Puerto Salgar,5.46304,-74.65436
Retiro,6.05861,-75.50306
San Andrés,12.537868,-81.720548
Melgar,4.20475,-74.64075
Cota,4.80938,-74.098
Yopal,5.349077,-72.406082
Girón,7.0682,-73.16981
Villamaría,5.04492,-75.5146
San Bernardo,9.3533,-75.95244
Carmen de Apicalá,4.14725,-74.72014
La Cumbre,3.64999,-76.56984
Gachancipá,4.99111,-73.87154
Granada,3.53861,-73.70056
Soledad,10.91843,-74.76459
Villa del Rosario,7.83389,-72.47417
Tocancipá,4.96531,-73.91301
Barrancabermeja,7.06528,-73.85472
Ricaurte,1.138062,-78.051149
Santa Rita,4.48698,-69.79373
Acandí,8.50633,-77.27784
Girardot,4.29866,-74.80468
Coello,4.434677,-74.957387
Santagueda,5.065,-75.66306
Florida,7.06222,-73.08644
La Virginia,4.89972,-75.8825
Bochalema,7.61096,-72.64774
Mosquera,4.70592,-74.23021
Dos Quebradas,4.83916,-75.66726
Garzón,2.19593,-75.62777
Anapoima,4.52028,-74.53944
Tibaná,5.31728,-73.39655
San Cayetano,7.87707,-72.6243
San Rafael,6.29436,-75.02589
Santa Rosa de Cabal,4.86806,-75.62139
Turbaná,10.2717,-75.44222
Nilo,4.30604,-74.62083
Moniquirá,5.87638,-73.57284
Tenjo,4.8727,-74.14435
San Martín,3.69637,-73.69958
San Marcos,8.65972,-75.12809
Turbaco,10.32944,-75.41137
Restrepo,3.82203,-76.52242
Génova,4.31667,-75.76667
Madrid,4.73244,-74.26419
Cabrera,3.98598,-74.48283
La Vega,4.99779,-74.33979
Caldas,5.285408,-75.423319
Andalucía,4.17061,-76.16641
Calarca,4.52949,-75.64091
Girardota,6.37712,-75.4478
Sincelejo,9.30472,-75.39778
Salento,4.6375,-75.57028
Viterbo,5.06242,-75.87159
Marinilla,6.17358,-75.33621
Coveñas,9.40412,-75.69628
Chiquinquirá,5.61637,-73.81748
Santa Sofía,5.70908,-73.60404
La Tebaida,4.430314,-75.810404
Jardín,5.59902,-75.81976
Villanueva,5.28333,-71.96667
El Rosal,4.85314,-74.25996
Prado,3.372527,-75.587282
