l_all,lat,lon
"Bucaramanga,Santander,Colombia",7.12539,-73.1198
"Medellín,Antioquia,Colombia",6.25184,-75.56359
"Barranquilla,Atlántico,Colombia",10.96389,-74.79639
"Montería,Córdoba,Colombia",8.763871,-75.879135
"Villa Maria,Suba,Zona Noroccidental,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"Villavicencio,Meta,Colombia",4.142,-73.62664
"Cartago,Valle del Cauca,Colombia",4.74639,-75.91167
"Bosa,Zona Suroccidental,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"Cali,Valle del Cauca,Colombia",3.43722,-76.5225
"Manizales,Caldas,Colombia",5.065894,-75.504741
"Pereira,Risaralda,Colombia",4.812095,-75.685157
"Santa Marta,Magdalena,Colombia",11.24079,-74.19904
"La Ceja,Antioquia,Colombia",6.03082,-75.4315
"Las Palmas,Barranquilla,Atlántico,Colombia",10.96389,-74.79639
"Guarne,Antioquia,Colombia",6.28046,-75.44354
"Palestina,Caldas,Colombia",5.0194,-75.62242
"San Francisco,Cundinamarca,Colombia",4.97372,-74.29006
"Popayán,Cauca,Colombia",2.419993,-76.610011
"Rionegro,Antioquia,Colombia",6.15515,-75.37371
"Neiva,Huila,Colombia",2.934469,-75.289134
"Chía,Cundinamarca,Colombia",4.85876,-74.05866
"Suba,Zona Noroccidental,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"Piedecuesta,Santander,Colombia",6.98789,-73.04953
"Tuluá,Valle del Cauca,Colombia",4.08466,-76.19536
"Cartagena,Bolívar,Colombia",10.39972,-75.51444
"Bello,Antioquia,Colombia",6.33732,-75.55795
"Floridablanca,Santander,Colombia",7.06222,-73.08644
"Barrios Unidos,Zona Chapinero,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"Teusaquillo,Zona Chapinero,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"Sabaneta,Antioquia,Colombia",6.141405,-75.652964
"Chapinero,Zona Chapinero,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"Veraguas,Los Mártires,Zona Centro,Bogotá D.C,Cundinamarca,Colombia",5.089656,-74.341269
"La Calera,Cundinamarca,Colombia",4.72069,-73.96926
"Ibagué,Tolima,Colombia",4.438914,-75.232214
"Envigado,Antioquia,Colombia",6.17591,-75.59174
"Jamundí,Valle del Cauca,Colombia",3.26074,-76.53499
"Itagui,Antioquia,Colombia",6.18461,-75.59913
"Fusagasugá,Cundinamarca,Colombia",4.33646,-74.36378
"Usaquén,Zona Norte,Bogotá D.C,Cundinamarca,Colombia",4.67203,-73.91502
"Kennedy,Zona Suroccidental,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"Soacha,Cundinamarca,Colombia",4.57937,-74.21682
"Antioquia,Colombia",6.25184,-75.56359
"Cúcuta,Norte de Santander,Colombia",7.89391,-72.50782
"El Progreso,Los Mártires,Zona Centro,Bogotá D.C,Cundinamarca,Colombia",5.089656,-74.341269
"Cajicá,Cundinamarca,Colombia",4.91857,-74.02799
"Santa Fe,Zona Centro,Bogotá D.C,Cundinamarca,Colombia",5.089656,-74.341269
"Palmira,Valle del Cauca,Colombia",3.53944,-76.30361
"Alameda,Los Mártires,Zona Centro,Bogotá D.C,Cundinamarca,Colombia",5.089656,-74.341269
"El Retiro,Chapinero,Zona Chapinero,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"Puente Aranda,Zona Centro,Bogotá D.C,Cundinamarca,Colombia",5.089656,-74.341269
"San Luis,Chapinero,Zona Chapinero,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"Armenia,Quindío,Colombia",4.53389,-75.68111
"Pance,Cali,Valle del Cauca,Colombia",3.328494,-76.634016
"Florencia,Caquetá,Colombia",1.613746,-75.613059
"Chico Norte,Chapinero,Zona Chapinero,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"Colombia,Huila,Colombia",3.37606,-74.8015
"Sucre,Colombia",8.81136,-74.72084
"Santa Catalina,Bolívar,Colombia",10.60361,-75.28824
"Santa Barbara,Usaquén,Zona Norte,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"La Florida,Caldas,Colombia",5.55833,-73.85167
"Tunja,Boyacá,Colombia",5.53528,-73.36778
"Carmen de Carupa,Cundinamarca,Colombia",5.34862,-73.90168
"Campo Alegre,Barranquilla,Atlántico,Colombia",10.96389,-74.79639
"Marsella,Risaralda,Colombia",4.93722,-75.73778
"La Estrella,Antioquia,Colombia",6.15769,-75.64317
"Antonio Nariño,Zona Sur,Bogotá D.C,Cundinamarca,Colombia",37.490824,15.059433
"Las Delicias,Kennedy,Zona Suroccidental,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"Tubará,Atlántico,Colombia",10.87444,-74.97889
"Barbosa,Antioquia,Colombia",6.43809,-75.33136
"Funza,Cundinamarca,Colombia",4.71638,-74.21195
"La Estanzuela,Suba,Zona Noroccidental,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"Palermo,Teusaquillo,Zona Chapinero,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"Puerto Colombia,Atlántico,Colombia",10.98778,-74.95472
"San Antonio Norte,Usaquén,Zona Norte,Bogotá D.C,Cundinamarca,Colombia",4.67203,-73.91502
"Santa Paula,Usaquén,Zona Norte,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"Paseo de la Castellana,Barranquilla,Atlántico,Colombia",10.96389,-74.79639
"La Calleja,Usaquén,Zona Norte,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"Villeta,Cundinamarca,Colombia",5.00886,-74.47226
"Laureles,Medellín,Antioquia,Colombia",6.25184,-75.56359
"Niza,Suba,Zona Noroccidental,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"Centenario,Rafael Uribe Uribe,Zona Sur,Bogotá D.C,Cundinamarca,Colombia",37.490824,15.059433
"Sabanalarga,Atlántico,Colombia",10.62962,-74.92063
"Cedritos,Usaquén,Zona Norte,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"Fontibón,Zona Occidental,Bogotá D.C,Cundinamarca,Colombia",20.722181,-103.348373
"La Candelaria,Zona Centro,Bogotá D.C,Cundinamarca,Colombia",5.089656,-74.341269
"Copacabana,Antioquia,Colombia",6.34633,-75.50888
"Guainía,Colombia",2.727537,-68.811118
"Risaralda,Colombia",5.275739,-75.987105
"Santa Rosa,Bolívar,Colombia",10.44472,-75.36972
"El Recreo,Barranquilla,Atlántico,Colombia",10.96389,-74.79639
"Las Orquideas,Suba,Zona Noroccidental,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"Norte de Santander,Colombia",8.188397,-72.868532
"Dibulla,La Guajira,Colombia",11.27251,-73.30911
"Quindío,Colombia",4.50643,-75.711043
"Norte-Centro Histórico,Barranquilla,Atlántico,Colombia",10.99428,-74.83046
"Facatativá,Cundinamarca,Colombia",4.81367,-74.35453
"Filandia,Quindío,Colombia",4.67472,-75.65833
"Eduardo Santos,Santa Fe,Zona Centro,Bogotá D.C,Cundinamarca,Colombia",5.089656,-74.341269
"Los Rosales,Chapinero,Zona Chapinero,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
