d1,d2,d3,d4
225.81,515.05,42.89,328.01
26.39,681.54,204.51,305.88
26.2,683.74,209.27,309.35
258.82,456.77,305.9,556.37
228.36,510.07,47.81,332.91
170.69,641.1,84.96,213.89
25.89,680.34,203.07,305.52
675.87,24.57,578.18,861.35
674.17,24.34,576.86,860.14
677.11,26.69,579.86,863.12
324.66,832.59,281.38,7.47
228.36,510.07,47.81,332.91
228.36,510.07,47.81,332.91
173.83,636.49,79.91,216.78
184.18,638.39,80.96,211.16
228.36,510.07,47.81,332.91
191.21,668.93,111.48,181.34
30.37,686.36,208.16,304.53
471.34,249.87,326.54,597.62
26.19,679.01,200.63,304.04
678.21,26.47,580.54,863.68
31.75,688.42,210.34,304.81
40.69,693.09,206.99,293.96
228.36,510.07,47.81,332.91
30.26,686.84,209.33,305.49
298.92,818.05,263.77,28.88
678.1,25.27,579.99,863.02
191.21,668.7,111.25,181.54
403.97,945.43,392.01,105.93
313.58,827.65,274.82,14.46
63.9,600.68,192.5,374.58
228.36,510.07,47.81,332.91
323.57,830.45,279.35,9.65
228.36,510.07,47.81,332.91
540.39,1077.17,528.47,240.56
673.07,23.56,575.77,859.07
250.8,467.74,304.77,551.49
42.13,696.91,212.26,296.14
180.2,636.97,79.72,213.9
210.24,529.72,27.94,315.66
95.24,752.42,282.67,328.14
674.47,25.34,577.44,860.79
35.6,688.33,204.88,297.52
173.16,639.15,82.65,214.62
46.9,695.23,203.61,286.17
228.36,510.07,47.81,332.91
368.45,423.0,413.19,669.88
216.23,679.74,124.32,163.84
228.36,510.07,47.81,332.91
26.4,683.86,209.2,309.12
340.93,854.94,303.61,15.72
43.27,692.44,203.03,289.32
195.91,701.31,143.87,153.83
362.34,425.35,407.83,663.96
194.9,671.36,113.98,177.87
676.54,26.93,579.54,862.87
42.1,693.62,206.22,292.15
329.73,835.35,284.86,8.07
223.68,516.62,41.12,326.75
147.61,775.84,347.51,402.28
227.84,511.51,46.42,331.44
328.38,833.1,282.68,9.62
12.94,649.03,188.82,325.18
9.78,650.08,196.75,333.03
170.36,639.52,83.45,215.45
170.25,639.23,83.18,215.76
210.9,518.37,40.28,328.21
228.36,510.07,47.81,332.91
205.49,520.1,40.38,328.02
328.38,833.1,282.68,9.62
330.1,834.8,284.5,9.2
306.32,804.32,253.56,35.4
330.96,840.2,289.14,4.07
255.15,461.01,304.69,553.78
228.36,510.07,47.81,332.91
308.15,812.49,260.81,27.24
228.36,510.07,47.81,332.91
228.36,510.07,47.81,332.91
34.49,689.49,208.4,300.77
326.81,830.5,280.17,11.66
29.69,684.98,206.44,304.02
259.7,456.78,307.09,557.47
630.01,76.5,509.05,785.27
31.92,685.89,205.16,301.13
335.59,845.67,294.73,7.98
191.21,669.68,112.23,180.7
26.37,683.85,209.2,309.14
195.06,698.8,141.36,156.04
678.62,26.24,580.72,863.8
676.1,25.4,578.66,861.88
191.35,670.9,113.44,179.61
328.22,832.27,281.96,10.56
272.55,480.71,87.31,358.95
677.42,26.27,579.92,863.11
284.13,780.84,228.6,59.37
224.55,514.26,43.42,329.15
228.36,510.07,47.81,332.91
401.09,942.98,389.4,103.56
170.75,640.27,84.13,214.61
695.77,94.87,616.84,903.37
326.34,829.25,279.03,12.95
332.49,840.01,289.35,6.3
21.44,678.93,206.57,311.85
172.7,638.46,82.03,215.44
330.38,833.54,283.54,11.16
28.17,685.16,209.07,307.3
228.36,510.07,47.81,332.91
167.74,639.02,83.43,217.03
28.49,685.21,208.66,306.69
331.28,838.37,287.71,6.3
147.98,706.66,157.54,183.4
256.66,462.29,307.82,556.26
677.11,26.69,579.86,863.12
228.36,510.07,47.81,332.91
210.24,529.72,27.94,315.66
677.11,26.69,579.86,863.12
676.51,25.75,579.08,862.3
167.57,639.24,83.69,216.9
234.28,501.52,56.49,341.05
228.36,510.07,47.81,332.91
332.84,838.04,287.82,8.75
228.36,510.07,47.81,332.91
167.73,640.8,85.18,215.44
691.64,89.73,611.83,898.27
228.36,510.07,47.81,332.91
224.5,516.4,41.45,326.81
168.86,640.55,84.73,215.17
629.21,79.03,507.61,783.57
42.1,693.62,206.22,292.15
234.56,509.73,49.65,332.09
26.95,681.89,204.4,305.3
330.07,834.74,284.44,9.25
